Month_Year;Value
January.2005;114.49
February.2005;114.51
March.2005;114.81
April.2005;115.63
May.2005;116.69
June.2005;116.81
July.2005;116.14
August.2005;117.13
September.2005;118.33
October.2005;120.45
November.2005;122.14
December.2005;122.65
January.2006;123.57
February.2006;123.84
March.2006;124.18
April.2006;125.84
May.2006;128.2
June.2006;128.63
July.2006;129.72
August.2006;129.15
September.2006;130.81
October.2006;132.47
November.2006;134.18
December.2006;134.49
January.2007;135.84
February.2007;136.42
March.2007;137.67
April.2007;139.33
May.2007;140.03
June.2007;139.69
July.2007;138.67
August.2007;138.7
September.2007;140.13
October.2007;142.67
November.2007;145.45
December.2007;145.77
January.2008;146.94
February.2008;148.84
March.2008;150.27
April.2008;152.79
May.2008;155.07
June.2008;154.51
July.2008;155.4
August.2008;155.02
September.2008;155.72
October.2008;159.77
November.2008;161.1
December.2008;160.44
January.2009;160.9
February.2009;160.35
March.2009;162.12
April.2009;162.15
May.2009;163.19
June.2009;163.37
July.2009;163.78
August.2009;163.29
September.2009;163.93
October.2009;167.88
November.2009;170.01
December.2009;170.91
January.2010;174.07
February.2010;176.59
March.2010;177.62
April.2010;178.68
May.2010;178.04
June.2010;177.04
July.2010;176.19
August.2010;176.9
September.2010;179.07
October.2010;182.35
November.2010;182.4
December.2010;181.85
January.2011;182.6
February.2011;183.93
March.2011;184.7
April.2011;186.3
May.2011;190.81
June.2011;188.08
July.2011;187.31
August.2011;188.67
September.2011;190.09
October.2011;196.31
November.2011;199.7
December.2011;200.85
January.2012;201.98
February.2012;203.12
March.2012;203.96
April.2012;207.05
May.2012;206.61
June.2012;204.76
July.2012;204.29
August.2012;205.43
September.2012;207.55
October.2012;211.62
November.2012;212.42
December.2012;213.23
January.2013;216.74
February.2013;217.39
March.2013;218.83
April.2013;219.75
May.2013;220.07
June.2013;221.75
July.2013;222.44
August.2013;222.21
September.2013;223.91
October.2013;227.94
November.2013;227.96
December.2013;229.01
January.2014;233.54
February.2014;234.54
March.2014;237.18
April.2014;240.37
May.2014;241.32
June.2014;242.07
July.2014;243.17
August.2014;243.4
September.2014;243.74
October.2014;248.37
November.2014;248.82
December.2014;247.72
January.2015;250.45
February.2015;252.24
March.2015;255.23
April.2015;259.39
May.2015;260.85
June.2015;259.51
July.2015;259.74
August.2015;260.78
September.2015;263.11
October.2015;267.2
November.2015;268.98
December.2015;269.54
January.2016;274.44
February.2016;274.38
March.2016;274.27
April.2016;276.42
May.2016;278.02
June.2016;279.33
July.2016;282.58
August.2016;281.76
September.2016;282.27
October.2016;286.33
November.2016;287.81
December.2016;292.54
January.2017;299.74
February.2017;302.17
March.2017;305.24
April.2017;309.23
May.2017;310.61
June.2017;309.78
July.2017;310.24
August.2017;311.85
September.2017;313.88
October.2017;320.4
November.2017;325.18
December.2017;327.41
January.2018;330.75
February.2018;333.17
March.2018;336.48
April.2018;342.78
May.2018;348.34
June.2018;357.44
July.2018;359.41
August.2018;367.66
September.2018;390.84
October.2018;401.27
November.2018;395.48
December.2018;393.88
January.2019;398.07
February.2019;398.71
March.2019;402.81
April.2019;409.63
May.2019;413.52
June.2019;413.63
July.2019;419.24
August.2019;422.84
September.2019;427.04
October.2019;435.59
November.2019;437.25
December.2019;440.5
January.2020;446.45
February.2020;448.02
March.2020;450.58
April.2020;454.43
May.2020;460.62
June.2020;465.84
July.2020;468.56
August.2020;472.61
September.2020;477.21
October.2020;487.38
November.2020;498.58
December.2020;504.81
January.2021;513.3
February.2021;517.96
March.2021;523.53
April.2021;532.32
May.2021;537.05
June.2021;547.48
July.2021;557.36
August.2021;563.6
September.2021;570.66
October.2021;584.32
November.2021;604.84
December.2021;686.95
January.2022;763.23
February.2022;799.93
March.2022;843.64
April.2022;904.79
May.2022;931.76
June.2022;977.9
July.2022;1001.03
August.2022;1015.65
September.2022;1046.89
October.2022;1084
November.2022;1115.26
December.2022;1128.45
January.2023;1203.48
February.2023;1241.33
March.2023;1269.75
April.2023;1300.04
May.2023;1300.6
June.2023;1351.59
July.2023;1479.84
August.2023;1614.31
September.2023;1691.04
October.2023;1749.11
November.2023;1806.5
December.2023;1859.38
January.2024;1984.02
February.2024;2073.88
March.2024;2139.47
April.2024;2207.5
May.2024;2281.85
June.2024;2319.29
July.2024;2394.1
August.2024;2453.34
September.2024;2526.16
October.2024;
November.2024;
December.2024;
